"","type","vehicle_double_time","tv0","method","eu_tv","n_sim","n","tgi_c","Power"
"260","AUC",5,150,"Bliss",2500,100,9,0.8,0.99
"261","CombPDX_CI",5,150,"Bliss",500,100,10,0.8,0.99
"262","AUC",5,150,"Bliss",500,100,10,0.8,0.99
"263","CombPDX_CI",5,150,"Bliss",1000,100,10,0.8,1
"264","AUC",5,150,"Bliss",1000,100,10,0.8,0.98
"265","CombPDX_CI",5,150,"Bliss",1500,100,10,0.8,0.99
"266","AUC",5,150,"Bliss",1500,100,10,0.8,0.99
"267","CombPDX_CI",5,150,"Bliss",2000,100,10,0.8,1
"268","AUC",5,150,"Bliss",2000,100,10,0.8,1
"269","CombPDX_CI",5,150,"Bliss",2500,100,10,0.8,1
"270","AUC",5,150,"Bliss",2500,100,10,0.8,1
